PuzzleType,TimeToSolve,ExperienceRating
Word,10.88,Neutral
Word,11.54,Fun
Word,15.12,Neutral
Word,12.14,Neutral
Word,12.26,Fun
Word,15.43,Neutral
Word,12.92,Neutral
Word,9.47,Fun
Word,10.63,Neutral
Word,11.11,Neutral
Word,14.45,Neutral
Word,12.72,Neutral
Word,12.80,Neutral
Word,12.22,Fun
Word,10.89,Fun
Word,15.57,Neutral
Word,13.00,Neutral
Word,8.07,Fun
Word,13.40,Neutral
Word,11.05,Neutral
Word,9.86,Fun
Word,11.56,Neutral
Word,9.95,Fun
Word,10.54,Fun
Word,10.75,Neutral
Word,8.63,Fun
Word,13.68,Neutral
Word,12.31,Neutral
Word,9.72,Fun
Word,14.51,Neutral
Word,12.85,Neutral
Word,11.41,Neutral
Word,13.79,Fun
Word,13.76,Neutral
Word,13.64,Neutral
Word,13.38,Neutral
Word,13.11,Neutral
Word,11.88,Neutral
Word,11.39,Neutral
Word,11.24,Neutral
Word,10.61,Fun
Word,11.58,Neutral
Word,9.47,Fun
Word,16.34,Neutral
Word,14.42,Neutral
Word,9.75,Neutral
Word,11.19,Fun
Word,11.07,Fun
Word,13.56,Neutral
Word,11.83,Neutral
Word,12.51,Neutral
Word,11.94,Neutral
Word,11.91,Neutral
Word,14.74,Neutral
Word,11.55,Neutral
Word,15.03,Frustrating
Word,8.90,Fun
Word,13.17,Neutral
Word,12.25,Fun
Word,12.43,Neutral
Word,12.76,Neutral
Word,11.00,Neutral
Word,11.33,Fun
Word,9.96,Fun
Word,9.86,Neutral
Word,12.61,Neutral
Word,12.90,Neutral
Word,12.11,Neutral
Word,13.84,Neutral
Word,16.10,Frustrating
Word,11.02,Fun
Word,7.38,Fun
Word,14.01,Neutral
Word,10.58,Fun
Word,10.62,Fun
Word,14.05,Frustrating
Word,11.43,Neutral
Word,9.56,Fun
Word,12.36,Fun
Word,11.72,Neutral
Word,12.01,Neutral
Word,12.77,Fun
Word,11.26,Fun
Word,13.29,Fun
Word,11.56,Neutral
