PuzzleType,TimeToSolve,isFun
Word,44.21,Yes
Word,45.81,Yes
Word,41.29,Yes
Word,49.08,Yes
Word,48.93,Yes
Word,47.37,No
Word,47.38,Yes
Word,48.39,Yes
Word,32.91,Yes
Word,49.09,Yes
Word,43.24,No
Word,46.38,Yes
Word,47.58,Yes
Word,47.00,Yes
Word,48.14,Yes
Word,44.17,No
Word,39.89,No
Word,46.39,Yes
Word,45.72,No
Word,25.02,Yes
Word,44.21,No
Word,43.47,Yes
Word,40.35,No
Word,41.18,Yes
Word,42.25,Yes
Word,39.63,Yes
Word,40.29,Yes
Word,39.84,Yes
Word,49.08,No
Word,45.68,Yes
Word,36.26,No
Word,46.23,Yes
Word,47.71,No
Word,33.68,Yes
Word,41.89,No
Word,44.52,Yes
Word,45.49,Yes
Word,41.74,Yes
Word,45.73,No
Word,42.49,No
Word,46.74,No
Word,6.00,No
Word,44.19,Yes
Word,47.91,No
Word,42.66,Yes
Word,35.78,Yes
Word,41.08,Yes
Word,45.81,Yes
Word,32.91,No
Word,41.39,Yes
Word,48.72,Yes
Word,47.43,Yes
Word,42.86,Yes
Word,47.38,No
Word,43.42,Yes
Word,37.94,Yes
Word,45.88,No
Word,33.80,No
Word,42.98,No
Word,43.12,No
Word,43.10,Yes
Word,47.56,Yes
Word,39.89,Yes
Word,49.01,Yes
Word,48.67,No
Word,48.67,No
Word,47.58,Yes
Word,47.49,No
Word,43.43,Yes
Word,43.72,Yes
Word,39.41,No
Word,39.55,Yes
Word,34.05,No
Word,40.14,Yes
Word,46.99,Yes
Word,47.83,Yes
Word,46.47,Yes
Word,49.01,No
Word,47.35,No
Word,45.40,Yes
Word,45.83,Yes
Word,47.97,Yes
Word,22.27,Yes
Word,38.12,No
Word,45.15,Yes
Word,40.63,Yes
Word,38.88,Yes
Word,41.80,Yes
Word,40.49,Yes
Word,40.04,Yes
Word,49.24,No
Word,42.61,No
Word,47.47,Yes
Word,42.11,Yes
Word,42.58,Yes
Word,48.86,Yes
Word,46.38,Yes
Word,39.84,Yes
Word,47.71,Yes
Word,38.12,No
Word,46.49,Yes
Word,47.85,No
Word,42.17,Yes
Word,48.91,Yes
Word,46.85,Yes
Word,43.61,Yes
Word,46.77,Yes
Word,44.75,Yes
Word,48.13,No
Word,44.00,No
Word,48.13,Yes
Word,43.39,Yes
Word,47.33,Yes
Word,41.34,Yes
Word,47.36,No
Word,39.64,Yes
Word,48.39,No
Word,38.45,No
Word,49.09,Yes
Word,41.45,No
Word,48.07,Yes
Word,38.76,No
Word,38.68,No
Word,44.21,Yes
Word,47.17,Yes
Word,29.48,Yes
Word,46.86,Yes
Word,42.66,No
Word,41.29,Yes
Word,45.41,Yes
Word,48.09,Yes
Word,46.53,Yes
Word,47.03,No
Word,28.48,Yes
Word,41.62,Yes
Word,42.78,Yes
Word,47.48,Yes
Word,48.76,No
Word,31.55,Yes
Word,37.46,Yes
Word,45.28,No
Word,39.61,Yes
Word,45.63,No
Word,48.70,No
Word,47.32,Yes
Word,38.71,No
Word,47.67,No
Word,43.62,No
Word,46.57,Yes
Word,41.53,Yes
Word,48.20,No
Word,39.84,Yes
Word,48.89,No
Word,45.84,Yes
Word,38.88,Yes
Word,41.40,No
Word,41.50,No
Word,46.46,Yes
Word,49.07,Yes
Word,48.35,No
Word,43.04,Yes
Word,42.77,Yes
Word,26.78,Yes
Word,49.23,Yes
Word,49.24,Yes
Word,39.07,Yes
Word,46.02,No
Word,46.44,Yes
Word,48.96,Yes
Word,46.16,No
Word,40.37,Yes
Word,41.59,No
Word,40.71,No
Word,36.56,Yes
Word,40.72,Yes
Word,43.96,No
Word,33.12,No
Word,35.89,Yes
Word,46.13,No
Word,48.85,No
Word,45.85,Yes
Word,23.07,Yes
Word,45.92,Yes
Word,46.51,No
Word,47.70,Yes
Word,45.07,Yes
Word,43.49,Yes
Word,44.88,No
Word,42.59,Yes
Word,45.63,Yes
Word,45.24,No
Word,39.48,Yes
Word,48.65,No
Word,46.82,No
Word,32.82,Yes
Word,32.15,Yes
Word,49.12,Yes
Word,46.41,Yes
Word,45.26,No
Word,43.56,Yes
Word,42.44,No
Word,48.77,Yes
Word,39.41,Yes
Word,48.31,Yes
Word,40.39,Yes
Word,48.59,Yes
Word,47.92,Yes
Word,45.24,No
Word,40.05,No
Word,37.69,Yes
Word,47.98,Yes
Word,45.86,Yes
Word,37.67,No
Word,27.65,Yes
Word,41.35,Yes
Word,43.68,No
Word,47.37,Yes
Word,48.40,Yes
Word,43.70,No
Word,47.72,No
Word,46.04,Yes
Word,48.81,Yes
Word,48.50,No
Word,33.67,Yes
Word,36.84,No
Word,48.03,Yes
Word,32.67,Yes
Word,40.53,Yes
Word,32.69,Yes
Word,40.37,No
Word,47.62,Yes
Word,44.76,Yes
Word,42.96,Yes
Word,47.10,No
Word,43.50,Yes
Word,45.29,No
Word,39.80,Yes
Word,37.73,No
Word,47.93,Yes
Word,26.19,No
Word,48.11,Yes
Word,43.38,Yes
Word,48.01,No
Word,41.79,Yes
Word,39.25,Yes
Word,46.92,No
Word,43.20,Yes
Word,48.82,No
Word,33.24,Yes
Word,39.21,No
Word,44.32,No
Word,48.26,Yes
Word,46.49,No
Word,39.00,Yes
Word,46.32,Yes
Word,39.89,No
Word,42.51,Yes
Word,47.19,Yes
Word,48.98,Yes
Word,42.71,No
Word,40.71,No
Word,46.16,Yes
Word,39.51,Yes
Word,36.10,Yes
Word,48.25,Yes
Word,44.61,Yes
Word,39.77,Yes
Word,45.54,No
Word,33.77,Yes
Word,45.40,Yes
Word,42.35,Yes
Word,45.11,Yes
Word,40.05,Yes
Word,45.50,Yes
Word,43.72,No
Word,47.01,Yes
Word,48.78,Yes
Word,47.13,Yes
Word,41.64,No
Word,36.02,Yes
Word,44.75,Yes
Word,49.06,Yes
Word,45.82,Yes
Word,42.62,Yes
Word,42.31,Yes
Word,44.22,No
Word,35.11,Yes
Word,42.34,Yes
Word,38.40,No
Word,48.83,Yes
Word,49.22,No
Word,47.85,Yes
Word,34.87,Yes
Word,47.62,No
Word,38.70,Yes
Word,44.85,No
Word,45.49,Yes
Word,43.88,Yes
Word,42.36,Yes
Word,43.62,No
Word,31.46,Yes
Word,49.04,Yes
Word,47.12,Yes
Word,49.16,No
Word,43.84,Yes
Word,47.41,Yes
Word,45.47,Yes
Word,31.05,Yes
Word,46.40,Yes
Word,42.74,No
Word,45.32,Yes
Word,48.84,No
Word,44.52,Yes
Word,45.65,No
Word,33.99,Yes
Word,45.28,Yes
Word,44.46,Yes
Word,46.23,Yes
Word,48.93,No
Word,45.64,No
Word,41.86,Yes
Word,43.24,Yes
Word,37.11,Yes
Word,48.43,Yes
Word,47.06,Yes
Word,47.28,No
Word,48.91,Yes
Word,49.15,No
Word,28.27,Yes
